year,production rate (tonnes/day)
1950.32,132.500
1954.16,527.054
1955.51,658.507
1958.45,1386.04
1961.46,1515.80
1963.52,3107.62
1964.86,3703.97
1965.57,4832.28
1966.59,6425.15
1970.43,6421.23
1973.13,7547.51
1975.18,8807.27
1977.61,10000.2
1979.66,9998.13
1980.81,12188.6
1982.29,14113.1
1983.06,15573.4
1984.15,16834.1
1985.50,18227.4
1986.71,17628.5
1987.61,15303.1
1988.05,12778.9
1988.37,10188.5
1989.59,9655.92
1991.51,10185.3
1992.53,9719.33
1997.53,9182.91
2005.79,9240.89
2014.50,9231.99
